i,scd,src_box4,src_maxd,out_box4,out_bad48,psnr_f0,psnr_f1
382,0.00,4,7,11,0,49.91,49.92
383,0.04,4,9,11,0,49.45,49.61
384,0.20,116,150,70,4194,37.91,38.11
385,0.00,3,5,11,0,49.90,49.91
386,0.03,4,7,12,0,49.48,49.61
387,0.01,57,100,31,10,48.85,49.16
388,0.08,5,9,12,0,47.86,48.63
389,0.03,4,7,11,0,49.59,49.68
390,0.03,59,100,31,19,48.68,49.10
391,0.00,4,6,11,0,49.92,49.92
392,0.04,4,8,11,0,49.37,49.57
393,0.01,79,108,72,60,48.23,49.10
394,0.00,3,7,11,0,49.92,49.93
395,0.04,4,9,11,0,49.45,49.63
396,0.01,101,128,44,53,48.30,47.86
397,0.00,3,6,11,0,49.98,49.98
398,0.03,4,7,11,0,49.61,49.72
399,0.01,56,96,30,21,48.90,49.27
400,0.00,3,5,11,0,49.95,49.96
401,0.03,4,7,11,0,49.59,49.73
402,0.16,79,107,71,254,42.20,42.79
403,0.00,4,6,11,0,49.95,49.96
404,0.03,4,7,11,0,49.62,49.76
405,0.07,43,75,27,0,46.71,47.19
406,0.00,4,6,11,0,49.98,49.99
407,10.57,182,203,156,278700,17.50,15.85
408,0.03,4,7,12,0,48.17,48.22
409,0.08,43,85,24,0,46.73,46.64
410,0.04,4,7,12,0,48.09,48.17
411,0.07,53,92,31,10,46.60,46.36
412,0.04,4,9,12,0,48.08,48.18
413,0.07,44,84,18,0,46.67,46.28
414,0.04,5,8,12,0,48.08,48.17
415,0.07,45,91,22,5,46.51,46.19
416,0.04,4,8,13,0,48.10,48.19
417,0.08,44,90,22,5,46.41,46.08
418,0.03,4,8,13,0,48.10,48.20
419,0.08,44,92,23,7,46.22,46.05
420,0.03,4,7,13,0,48.12,48.20
421,0.08,50,87,25,22,45.95,45.91
422,0.03,4,8,13,0,48.12,48.21
423,0.09,52,89,27,25,45.77,45.69
424,0.03,4,7,13,0,48.13,48.22
425,0.09,51,91,27,19,45.80,45.07
426,0.03,4,8,13,0,48.16,48.24
427,0.10,48,83,26,16,45.69,44.59
428,0.95,152,169,152,35860,27.47,27.53
429,0.14,56,87,30,18,45.20,44.16
430,0.03,4,9,13,0,48.01,48.10
431,1.10,150,166,149,34090,27.76,28.02
432,0.03,4,9,13,0,48.07,48.19
433,0.13,56,102,31,40,44.61,43.59
434,1.30,157,179,153,55638,25.42,26.26
435,0.18,54,105,32,46,44.33,43.31
436,0.01,6,13,13,0,46.27,47.22
437,0.84,136,150,131,23593,29.57,30.21
438,0.03,4,10,13,0,48.36,48.47
439,0.95,132,157,131,26569,30.14,29.75
440,0.04,4,8,13,0,48.36,48.50
441,0.16,76,114,39,54,43.59,42.29
442,0.04,4,9,13,0,48.39,48.53
443,0.41,130,144,104,4852,35.74,35.80
444,0.04,4,9,13,0,48.42,48.56
445,0.16,64,130,48,63,43.86,42.25
446,0.01,108,132,79,1464,39.95,40.64
447,0.01,71,118,46,40,44.08,42.52
448,0.03,5,9,14,0,48.46,48.60
449,0.29,116,128,85,1657,38.86,39.09
