i,scd,src_box4,src_maxd,out_box4,out_bad48,psnr_f0,psnr_f1
129,0.00,3,4,10,0,50.15,50.16
130,11.83,181,192,168,413424,15.83,16.30
131,0.00,2,3,6,0,49.05,49.05
132,0.00,2,3,6,0,49.05,49.05
133,0.00,2,2,6,0,49.05,49.05
134,0.00,2,2,6,0,49.05,49.05
135,0.00,2,2,6,0,49.05,49.05
136,0.00,2,2,6,0,49.05,49.05
137,0.00,2,2,6,0,49.05,49.05
138,0.00,2,2,6,0,49.05,49.05
139,0.00,2,2,6,0,49.05,49.05
140,0.00,2,2,6,0,49.05,49.05
141,0.00,2,2,6,0,49.05,49.05
142,0.00,2,2,6,0,49.05,49.05
143,0.00,2,2,6,0,49.05,49.05
144,0.00,2,2,6,0,49.05,49.05
145,0.00,2,2,6,0,49.05,49.05
146,0.00,2,2,6,0,49.05,49.05
147,0.00,2,2,6,0,49.05,49.05
148,0.02,3,6,7,0,48.71,48.90
149,0.00,2,3,7,0,49.05,49.05
150,0.00,2,2,7,0,49.05,49.04
151,0.00,2,2,7,0,49.05,49.05
152,0.00,2,2,7,0,49.05,49.04
153,0.00,2,2,7,0,49.04,49.04
154,0.00,2,2,7,0,49.04,49.04
155,0.00,2,2,7,0,49.04,49.04
156,0.00,2,2,7,0,49.04,49.04
157,0.00,2,2,7,0,49.04,49.04
158,0.00,2,2,7,0,49.04,49.04
159,0.00,2,2,7,0,49.05,49.05
160,0.00,2,2,7,0,49.04,49.04
161,0.00,0,0,7,0,49.04,49.04
162,0.00,0,0,7,0,49.04,49.04
163,0.00,0,0,7,0,49.04,49.04
164,0.00,0,0,7,0,49.04,49.04
165,0.02,4,6,7,0,48.80,48.89
166,0.36,156,172,148,17159,31.20,33.32
167,0.00,3,6,6,0,49.13,49.14
168,0.04,4,7,6,0,48.67,48.92
169,0.25,145,170,102,9697,34.84,33.47
170,0.00,3,5,7,0,49.02,49.05
171,0.05,4,8,7,0,48.29,48.71
172,0.24,153,179,118,9994,34.53,34.50
173,0.00,2,5,6,0,49.02,49.03
174,0.00,2,4,6,0,49.04,49.04
175,0.00,2,4,6,0,49.04,49.04
176,0.00,2,3,6,0,49.04,49.04
177,0.00,2,3,6,0,49.04,49.04
178,0.00,2,4,6,0,49.04,49.04
179,0.00,2,4,6,0,49.04,49.04
180,0.00,2,3,6,0,49.04,49.04
181,0.00,2,3,6,0,49.04,49.04
182,0.00,2,3,6,0,49.04,49.04
183,0.00,2,3,6,0,49.04,49.04
184,0.00,2,2,6,0,49.04,49.04
185,0.00,2,2,6,0,49.04,49.04
186,0.00,2,2,6,0,49.04,49.04
187,0.00,2,2,6,0,49.04,49.04
188,0.00,2,2,6,0,49.04,49.04
189,0.00,2,2,6,0,49.04,49.04
190,0.00,2,2,6,0,49.04,49.04
191,0.00,2,2,6,0,49.04,49.04
192,0.00,2,2,6,0,49.04,49.04
193,0.00,2,2,6,0,49.04,49.04
194,0.00,2,2,6,0,49.04,49.04
195,0.00,2,3,6,0,49.04,49.04
196,0.03,3,7,8,0,48.64,48.87
197,0.00,2,4,6,0,49.04,49.05
198,0.00,2,3,6,0,49.04,49.04
199,0.00,2,2,6,0,49.04,49.05
200,0.00,2,2,6,0,49.04,49.04
201,0.00,2,2,6,0,49.04,49.05
202,0.00,2,2,6,0,49.04,49.04
203,0.00,2,2,6,0,49.04,49.05
204,0.00,2,2,6,0,49.04,49.04
205,0.00,2,2,6,0,49.04,49.05
206,0.00,2,2,6,0,49.04,49.04
207,0.00,2,2,6,0,49.04,49.05
208,0.00,2,2,6,0,49.04,49.04
209,0.00,2,2,6,0,49.04,49.05
210,0.00,2,2,6,0,49.05,49.05
211,0.00,2,2,6,0,49.04,49.05
212,0.00,2,2,6,0,49.05,49.04
213,0.00,2,2,6,0,49.04,49.04
214,0.00,2,2,6,0,49.04,49.04
215,0.00,2,2,6,0,49.04,49.04
216,0.00,2,2,6,0,49.04,49.04
217,0.00,2,2,6,0,49.04,49.04
218,0.00,2,2,6,0,49.04,49.04
219,0.00,2,2,6,0,49.05,49.05
220,0.00,1,2,6,0,49.05,49.05
221,0.00,0,0,6,0,49.05,49.05
222,0.00,0,0,6,0,49.05,49.05
223,0.00,2,4,7,0,49.04,49.05
224,0.00,1,2,6,0,49.05,49.05
225,0.00,3,6,6,0,48.99,49.02
226,0.67,124,167,88,9209,33.47,33.52
227,0.02,4,9,8,0,48.81,48.96
228,0.68,117,192,94,8841,33.41,33.60
229,0.00,4,6,7,0,49.02,49.04
230,0.02,4,9,7,0,48.74,48.91
231,0.67,120,196,89,9043,33.39,33.54
232,0.00,3,6,7,0,48.98,49.01
233,0.03,5,8,7,0,48.54,48.81
234,0.66,124,163,95,7986,33.66,33.88
235,0.00,3,7,7,0,48.97,49.00
236,0.00,3,6,7,0,49.00,49.02
237,0.00,3,5,7,0,49.02,49.03
238,0.00,3,5,7,0,49.03,49.03
239,0.00,3,4,7,0,49.03,49.04
